Card Name,Upright Meaning,Reversed Meaning,Major Arcana
Six of Swords,"transition, leaving behind, moving on","emotional baggage, unresolved issues, resisting transition",False
King of Cups,"compassion, control, balance","coldness, moodiness, bad advice",False
Three of Wands,"looking ahead, expansion, rapid growth","obstacles, delays, frustration",False
Nine of Pentacles,"fruits of labor, rewards, luxury","reckless spending, living beyond means, false success",False
Page of Swords,"curiosity, restlessness, mental energy","deception, manipulation, all talk",False
Knight of Swords,"action, impulsiveness, defending beliefs","no direction, disregard for consequences, unpredictability",False
Page of Wands,"exploration, excitement, freedom","lack of direction, procrastination, creating conflict",False
Seven of Wands,"perseverance, defensive, maintaining control","give up, destroyed confidence, overwhelmed",False
The Devil,"addiction, materialism, playfulness","freedom, release, restoring control",True
King of Swords,"head over heart, discipline, truth","manipulative, cruel, weakness",False
Six of Cups,"familiarity, happy memories, healing","moving forward, leaving home, independence",False
Eight of Pentacles,"apprenticeship, passion, high standards","lack of passion, uninspired, no motivation",False
The Chariot,"direction, control, willpower","lack of control, lack of direction, aggression",True
Four of Wands,"community, home, celebration","lack of support, transience, home conflicts",False
Eight of Swords,"imprisonment, entrapment, self-victimization","self acceptance, new perspective, freedom",False
The World,"fulfillment, harmony, completion","incompletion, no closure",True
The Magician,"willpower, desire, creation, manifestation","trickery, illusions, out of touch",True
Ace of Pentacles,"opportunity, prosperity, new venture","lost opportunity, missed chance, bad investment",False
Five of Swords,"unbridled ambition, win at all costs, sneakiness","lingering resentment, desire to reconcile, forgiveness",False
The Wheel of Fortune,"change, cycles, inevitable fate","no control, clinging to control, bad luck",True
Ten of Swords,"failure, collapse, defeat","can't get worse, only upwards, inevitable end",False
Knight of Cups,"following the heart, idealist, romantic","moodiness, disappointment",False
Six of Wands,"victory, success, public reward","excess pride, lack of recognition, punishment",False
Ten of Wands,"accomplishment, responsibility, burden","inability to delegate, overstressed, burnt out",False
Justice,"cause and effect, clarity, truth","dishonesty, unaccountability, unfairness",True
Queen of Swords,"complexity, perceptiveness, clear mindedness","cold hearted, cruel, bitterness",False
The Hanged Man,"sacrifice, release, martyrdom","stalling, needless sacrifice, fear of sacrifice",True
Three of Swords,"heartbreak, suffering, grief","recovery, forgiveness, moving on",False
Five of Cups,"loss, grief, self-pity","acceptance, moving on, finding peace",False
Two of Swords,"difficult choices, indecision, stalemate","lesser of two evils, no right choice, confusion",False
The Tower,"sudden upheaval, broken pride, disaster","disaster avoided, delayed disaster, fear of suffering",True
Queen of Pentacles,"practicality, creature comforts, financial security","self-centeredness, jealousy, smothering",False
Two of Wands,"planning, making decisions, leaving home","fear of change, playing safe, bad planning",False
The Hermit,"contemplation, search for truth, inner guidance","loneliness, isolation, lost your way",True
Knight of Pentacles,"efficiency, hard work, responsibility","laziness, obsessiveness, work without reward",False
The Lovers,"partnerships, duality, union","loss of balance, one-sidedness, disharmony",True
Two of Pentacles,"balancing decisions, priorities, adapting to change","loss of balance, disorganized, overwhelmed",False
Ace of Swords,"breakthrough, clarity, sharp mind","confusion, brutality, chaos",False
Knight of Wands,"action, adventure, fearlessness","anger, impulsiveness, recklessness",False
Six of Pentacles,"charity, generosity, sharing","strings attached, stinginess, power and domination",False
Three of Cups,"friendship, community, happiness","overindulgence, gossip, isolation",False
The Star,"hope, faith, rejuvenation","faithlessness, discouragement, insecurity",True
Page of Cups,"happy surprise, dreamer, sensitivity","emotional immaturity, insecurity, disappointment",False
Five of Pentacles,"need, poverty, insecurity","recovery, charity, improvement",False
